partnername,Circle,count(*),AVG(delaydays)
"Gacl,Vadodara","P. H. Circle, Bhuj",9,
M/s. Mukesh Iron Foundry Pvt. Ltd.,"P. H. Circle, Junagadh",3,57.0
M/s. Krunal Engineering Co.,"P. H. Circle, Rajkot",3,55.0
M/s. Dutron Polymer,"P. H. Circle, Rajkot",28,21.125
M/s. Hawa Engineers Ltd,"P. H. Circle, Surat",4,35.0
M/S.G M Dalui And Sons Pvt.Ltd.,"P. H. Circle, Nadiad",9,421.0
M/s. Bir Industries,"P. H. Circle, Surat",3,250.0
M/s. Dutron Polymer,"P. H. Circle, Mahesana",33,31.387096774193548
M/s. Essem Engineering Industries,"P. H. Circle, Nadiad",1,54.0
M/s. Delite Pumps,"P. H. Mech. Circle, Ahmedabad",4,29.75
M/s. Mukesh Iron Foundry Pvt. Ltd.,"P. H. Circle, Anjar",4,195.0
Ketan Engineering Works,"P. H. Circle, Junagadh",16,70.1875
M/s. JDS Casting Pvt. Ltd.,"P. H. Circle, Rajkot",3,100.0
M/s. Essem Engineering Industries,"P. H. Circle, Godhara",1,
M/s. R.G. Industries,"P. H. Circle, Rajkot",1,198.0
M/s. Dutron Polymer,"P. H. Circle, Bhavnagar",10,22.1
M/s. Balson Polyplast Pvt. Ltd. Rajkot,"P. H. Mech. Circle, Ahmedabad",15,24.866666666666667
M/s. Ashish Pumps Pvt. Ltd.,"P. H. Mech. Circle, Surat",4,79.25
M/s. Kamdhenu Pipe,,9,67.11111111111111
M/s. JDS Casting Pvt. Ltd.,"P. H. Circle, Porbandar",3,83.0
M/s. Ultracab (India) Limited.,"P. H. Mech. Circle, Ahmedabad",74,49.91428571428571
M/s. Dutron Polymer,"P .H .Circle, Himatnagar",44,85.36585365853658
M/s. Balson Polyplast Pvt. Ltd. Rajkot,"P .H .Circle, Himatnagar",7,37.0
M/s. Hawa Engineers Ltd,"P. H. Circle, Bhuj",1,90.0
M/s. Balson Polyplast Pvt. Ltd. Rajkot,"P. H. Circle, Rajkot",22,20.136363636363637
M/S.G M Dalui And Sons Pvt.Ltd.,"P .H .Circle, Himatnagar",9,595.125
M/S. Techno Industries Ltd,"P. H. Circle, Bhuj",16,208.36363636363637
M/s. Bikaner Engineering Works,"P. H. Circle, Porbandar",3,260.0
M/s. Essem Engineering Industries,"P. H. Circle, Vadodara",2,239.0
M/s. Quality Pumps Pvt.Ltd.,"P. H. Mech. Circle, Ahmedabad",51,27.941176470588236
Vimco Pipe,,12,77.41666666666667
M/s. Balson Polyplast Pvt. Ltd. Rajkot,"P. H. Circle, Ahmedabad",9,155.77777777777777
M/s. Balson Polyplast Pvt. Ltd. Rajkot,"P. H. Circle, Palanpur",7,38.285714285714285
M/s. Krunal Engineering Co.,"P. H. Circle, Anjar",1,113.0
M/s. Delite Pumps,"P. H. Circle, Bhuj",9,209.57142857142858
M/S.G M Dalui And Sons Pvt.Ltd.,"P. H. Circle, Rajkot",11,809.0
M/s. Aqseptance Group (India) Pvt. Ltd.,"P. H. Mech. Circle, Surat",1,92.0
"Gacl,Vadodara","P. H. Circle, Vadodara",18,
M/S.G M Dalui And Sons Pvt.Ltd.,"P. H. Circle, Ahmedabad",6,597.6666666666666
